date of birth,number of people
1968_01_01,541
1965_01_01,533
1966_01_01,533
1964_01_01,527
1970_01_01,508
1960_01_01,505
1967_01_01,479
1966_06_06,452
1969_01_01,451
1961_01_01,445
1962_01_01,444
1963_01_01,434
1958_01_01,425
1962_02_02,414
1972_01_01,405
1970_02_02,398
1956_01_01,393
1964_10_10,393
1965_10_10,393
1968_02_02,393
1964_04_04,392
1940_01_01,390
1968_10_10,390
1957_01_01,389
1963_03_03,389
1971_01_01,387
1959_01_01,377
1930_01_01,372
1965_06_06,370
1968_06_06,369
1950_01_01,368
1936_01_01,356
1966_02_02,354
1970_06_06,354
1969_10_10,353
1964_03_03,352
1955_01_01,349
1964_06_06,349
1967_03_03,349
1968_05_05,349
1968_03_03,348
1969_03_03,347
1969_02_02,346
1963_10_10,345
1962_06_06,342
1962_10_10,342
1965_05_05,342
1966_10_10,342
1960_06_06,339
1964_02_02,339
1970_10_10,339
1967_02_02,338
1954_01_01,336
1960_02_02,334
1968_04_04,334
1969_04_04,333
1966_03_03,332
1972_06_06,332
1952_01_01,330
1963_02_02,330
1965_02_02,330
1937_01_01,329
1953_01_01,329
1970_03_03,329
1938_01_01,326
1966_04_04,326
1958_06_06,325
1972_02_02,325
1964_12_25,322
1939_01_01,321
1965_04_04,321
1967_10_10,320
1958_10_10,318
1973_01_01,318
1968_12_25,315
1932_01_01,312
1965_03_03,312
1962_03_03,311
1969_06_06,311
1962_04_04,310
1963_04_04,310
1967_05_05,310
1965_12_25,309
1962_05_05,305
1928_01_01,303
1968_12_12,302
1934_01_01,301
1960_03_03,301
1969_12_25,301
1933_01_01,300
1967_04_04,299
1935_01_01,298
1963_06_06,298
1959_10_10,297
1969_05_05,297
1957_10_10,296
1964_05_05,296
1968_08_08,296
1929_01_01,295
1966_12_12,295
1960_10_10,293
1970_12_25,292
1960_12_25,291
1967_06_06,291
1961_02_02,290
1972_03_03,290
1942_01_01,287
1958_03_03,287
1963_12_25,287
1970_04_04,287
1972_10_10,287
1958_02_02,285
