Key,transaction_date,subscription_id,user_id,subscription_start,subscription_end,subscription_status,provider,service,Charge,transcationstatus,Active
43190200023164,2018/03/31,200023164,31656284,2018/03/31,2019/06/13,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,439
43536292551204,2019/03/12,292551204,10122150,2019/03/12,2019/06/13,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,93
43538293100209,2019/03/14,293100209,46886316,2019/03/14,2019/06/13,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43538293078077,2019/03/14,293078077,46188547,2019/03/14,2019/06/13,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43538293049593,2019/03/14,293049593,15394839,2019/03/14,2019/06/13,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43137185826060,2018/02/06,185826060,24761570,2018/02/06,2019/06/12,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,491
43157190901560,2018/02/26,190901560,10608151,2018/02/26,2019/06/12,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,471
43187199250477,2018/03/28,199250477,23919958,2018/03/28,2019/06/12,Cancelled,Provider B,Cool Songs,#N/A,#N/A,441
43193200728575,2018/04/03,200728575,24722033,2018/04/03,2019/06/12,Cancelled,Provider B,Cool Songs,#N/A,#N/A,435
43198201732651,2018/04/08,201732651,33022623,2018/04/08,2019/06/12,Cancelled,Provider B,GOT Spoilers,#N/A,#N/A,430
43242212939564,2018/05/22,212939564,19789198,2018/05/22,2019/06/12,Cancelled,Provider B,Cool Songs,#N/A,#N/A,386
43280221266431,2018/06/29,221266431,18673921,2018/06/29,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,348
43300226496085,2018/07/19,226496085,37139569,2018/07/19,2019/06/12,Cancelled,Provider A,Cool Songs,#N/A,#N/A,328
43456271849682,2018/12/22,271849682,43342841,2018/12/22,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,172
43486279775563,2019/01/21,279775563,44563421,2019/01/21,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,142
43498283340007,2019/02/02,283340007,45163226,2019/02/02,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,130
43536292660850,2019/03/12,292660850,36211780,2019/03/12,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,92
43537292796818,2019/03/13,292796818,46823712,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43537292890115,2019/03/13,292890115,45430808,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,91
43537292896768,2019/03/13,292896768,8939939,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,91
43537292836585,2019/03/13,292836585,46696340,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,91
43537292814398,2019/03/13,292814398,46827194,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43537292824985,2019/03/13,292824985,5207855,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43537292789731,2019/03/13,292789731,3376254,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43537292792940,2019/03/13,292792940,45961906,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43537292830656,2019/03/13,292830656,34767754,2019/03/13,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43538292912388,2019/03/14,292912388,482073,2019/03/14,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43538292922894,2019/03/14,292922894,6636351,2019/03/14,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43538292985258,2019/03/14,292985258,46862518,2019/03/14,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43538292942309,2019/03/14,292942309,8855208,2019/03/14,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43538292995748,2019/03/14,292995748,24241192,2019/03/14,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43538293008277,2019/03/14,293008277,46867628,2019/03/14,2019/06/12,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43547294789375,2019/03/23,294789375,47247950,2019/03/23,2019/06/12,Cancelled,Provider B,Cool Songs,#N/A,#N/A,81
43551295357325,2019/03/27,295357325,47361416,2019/03/27,2019/06/12,Cancelled,Provider B,Cool Songs,#N/A,#N/A,77
43099176052012,2017/12/30,176052012,28541096,2017/12/30,2019/06/11,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,528
43149189176696,2018/02/18,189176696,1652136,2018/02/18,2019/06/11,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,478
43195201088456,2018/04/05,201088456,32918103,2018/04/05,2019/06/11,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,432
43287222860847,2018/07/06,222860847,17235948,2018/07/06,2019/06/11,Cancelled,Provider B,Cool Songs,#N/A,#N/A,340
43287222804659,2018/07/06,222804659,23355227,2018/07/06,2019/06/11,Cancelled,Provider B,Cool Songs,#N/A,#N/A,340
43506285097151,2019/02/10,285097151,45520868,2019/02/10,2019/06/11,Cancelled,Provider B,Cool Songs,300,Success,121
43522290083325,2019/02/26,290083325,5970644,2019/02/26,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,105
43536292625685,2019/03/12,292625685,2229792,2019/03/12,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43536292642605,2019/03/12,292642605,23380411,2019/03/12,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43536292639928,2019/03/12,292639928,46790206,2019/03/12,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43537292691304,2019/03/13,292691304,38371089,2019/03/13,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43537292737338,2019/03/13,292737338,46811440,2019/03/13,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43537292780738,2019/03/13,292780738,41066745,2019/03/13,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43537292807276,2019/03/13,292807276,44884893,2019/03/13,2019/06/11,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43145188071979,2018/02/14,188071979,4745070,2018/02/14,2019/06/10,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,481
43154190322995,2018/02/23,190322995,7920767,2018/02/23,2019/06/10,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,472
43160191613049,2018/03/01,191613049,20829824,2018/03/01,2019/06/10,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,466
43164192893565,2018/03/05,192893565,31505522,2018/03/05,2019/06/10,Cancelled,Provider B,GOT Spoilers,#N/A,#N/A,462
43164192823192,2018/03/05,192823192,29908681,2018/03/05,2019/06/10,Cancelled,Provider B,GOT Spoilers,#N/A,#N/A,462
43222208381609,2018/05/02,208381609,20098665,2018/05/02,2019/06/10,Cancelled,Provider B,Cool Songs,#N/A,#N/A,404
43222208348383,2018/05/02,208348383,29593978,2018/05/02,2019/06/10,Cancelled,Provider B,Cool Songs,#N/A,#N/A,404
43225209012934,2018/05/05,209012934,18871941,2018/05/05,2019/06/10,Cancelled,Provider B,Cool Songs,#N/A,#N/A,401
43253215455442,2018/06/02,215455442,33391238,2018/06/02,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,373
43278220797168,2018/06/27,220797168,11437334,2018/06/27,2019/06/10,Cancelled,Provider B,Cool Songs,#N/A,#N/A,348
43280221239887,2018/06/29,221239887,11639814,2018/06/29,2019/06/10,Cancelled,Provider B,Cool Songs,#N/A,#N/A,346
43308228858345,2018/07/27,228858345,12323710,2018/07/27,2019/06/10,Cancelled,Provider B,Cool Songs,#N/A,#N/A,318
43459272697537,2018/12/25,272697537,43479535,2018/12/25,2019/06/10,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,167
43498283357654,2019/02/02,283357654,45166792,2019/02/02,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,128
43505284931836,2019/02/09,284931836,45478249,2019/02/09,2019/06/10,Cancelled,Provider B,GOT Spoilers,300,Failed,121
43510286028134,2019/02/14,286028134,32630924,2019/02/14,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,116
43535292437563,2019/03/11,292437563,39093646,2019/03/11,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43535292479962,2019/03/11,292479962,46375759,2019/03/11,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43535292427508,2019/03/11,292427508,44698063,2019/03/11,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43535292482444,2019/03/11,292482444,23130570,2019/03/11,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43535292454555,2019/03/11,292454555,45143930,2019/03/11,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43535292422797,2019/03/11,292422797,45712042,2019/03/11,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43536292542916,2019/03/12,292542916,46767732,2019/03/12,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43536292570165,2019/03/12,292570165,23346384,2019/03/12,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43536292586398,2019/03/12,292586398,45903647,2019/03/12,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43536292530423,2019/03/12,292530423,7344834,2019/03/12,2019/06/10,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43073166196560,2017/12/04,166196560,26595431,2017/12/04,2019/06/09,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,552
43190199823175,2018/03/31,199823175,32738862,2018/03/31,2019/06/09,Cancelled,Provider B,GOT Spoilers,#N/A,#N/A,435
43242212926303,2018/05/22,212926303,23785062,2018/05/22,2019/06/09,Cancelled,Provider B,Cool Songs,#N/A,#N/A,383
43280221137901,2018/06/29,221137901,11630138,2018/06/29,2019/06/09,Cancelled,Provider B,Cool Songs,#N/A,#N/A,345
43301226627122,2018/07/20,226627122,1074427,2018/07/20,2019/06/09,Cancelled,Provider B,Cool Songs,#N/A,#N/A,324
43308228808381,2018/07/27,228808381,11040313,2018/07/27,2019/06/09,Cancelled,Provider B,Cool Songs,#N/A,#N/A,317
43312230214613,2018/07/31,230214613,10810155,2018/07/31,2019/06/09,Cancelled,Provider B,Cool Songs,#N/A,#N/A,313
43453270939328,2018/12/19,270939328,43184504,2018/12/19,2019/06/09,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,172
43479278057678,2019/01/14,278057678,10217623,2019/01/14,2019/06/09,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,146
43504284615085,2019/02/08,284615085,43121765,2019/02/08,2019/06/09,Cancelled,Provider B,Cool Songs,300,Failed,121
43532291774635,2019/03/08,291774635,46602822,2019/03/08,2019/06/09,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,93
43534292308813,2019/03/10,292308813,43178797,2019/03/10,2019/06/09,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43534292303335,2019/03/10,292303335,46500301,2019/03/10,2019/06/09,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
